NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.956524403535132,5.239611034554795,4.5228050261717625,5.728366938171784,6.232784243862412,5.007987878115566,6.030537337504256,4.809361457383994,8.074135219850964,6.959865459583105,4.472894038813151,5.213319081250611
2.935604169619237,3.555095099483746,3.4854723954431295,3.738858043882632,4.087374550412048,3.469086819441785,3.939335016271101,3.53370765618763,4.564990180029151,4.27998621067384,3.2668768230329306,3.6012320789184495
2.4257553821426767,2.730423916562565,2.793912542205719,2.833692689516476,2.9722712588329574,2.731768027060154,2.946298499335857,2.7468245103827567,3.17367902260257,3.146673425334264,2.6343772281240705,2.8293389988696784
2.0843639645696923,2.3076933101912034,2.2718070941326873,2.2902113408371583,2.311491098238146,2.2518833875626716,2.380475264804312,2.272725484325914,2.434009753377427,2.3799923321036776,2.2018072707921066,2.308664395113173
1.8292094869867752,1.937630779367749,1.867219917012448,1.9166867324825427,1.8976660682226214,1.8987004611242706,1.979912591553696,1.912026469547173,1.966777091563385,1.952,1.8795000679255536,1.9281437125748504
1.6070730948287621,1.6528073708126187,1.645920029659077,1.6367688650516081,1.6148021954897767,1.6332048547081515,1.661980198943545,1.6471171886103009,1.647119862346611,1.6533368844976641,1.6256846939714436,1.6463944857231216
1.4119592747612941,1.425602044905763,1.4226441181504303,1.4194562076171773,1.4093358965326974,1.419445962199368,1.427424227502911,1.4243817493027786,1.418794951478607,1.4285701135458808,1.417606801343414,1.4253640591734182
1.2470454938908617,1.2474017892925424,1.2448137050608263,1.2483450232964186,1.2455121937108455,1.2482894614186693,1.2500013927688678,1.2500014754340236,1.247557212083435,1.2500010068181728,1.2480473960116139,1.2495324416103921
1.111050834002156,1.1111115937957645,1.1111115628846782,1.1111115890905963,1.110113911961014,1.1111116613404468,1.1111116613404466,1.1111116939982444,1.1100273651950125,1.1111134976462798,1.1109643127106046,1.1111112122775142
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
