NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.8623096720976826,4.225044196796586,6.373379282940807,5.339814323537415,6.46120377084844,5.145023783096095,5.845099726093547,10.000419494509115,6.830380889005184,6.34312364049646,4.296437929756264,5.293177846144782
2.886733540311758,3.26963906581741,3.8734779270721207,3.5371752871948785,4.04459753444525,3.4903990194743293,3.8275968039336203,4.9999850187265915,4.227352477324706,4.14175188198947,3.118681123059487,3.5879549163469866
2.396009246318334,2.632720373165916,2.882688706559554,2.7185520085474195,2.9369108049311095,2.7064302722621703,2.8856768634838863,3.333323345817728,3.0465192426785386,3.109439668920218,2.5159076458614815,2.7930381793447
2.0612628292198925,2.2558410122692143,2.3175975915257907,2.231063760153957,2.3023930384336473,2.2317172817649458,2.350184388444991,2.5000018726661897,2.4034202685558927,2.444334167545791,2.1171292096668473,2.2711193000577206
1.8118528881395686,1.893843683709603,1.9141630901287554,1.8796509469303657,1.9108049311094997,1.8883299241250524,1.9588208509605096,2.000005992545274,1.9596136962247586,2.0,1.8315633073744169,1.9168733731246939
1.5990339503706388,1.6383581033262562,1.6309080196915795,1.6228860105720961,1.620135363790186,1.6287620863407328,1.6543741036672812,1.6666658343716214,1.6447193165082687,1.6666859283151487,1.602746613720295,1.645135707025339
1.4106662836418653,1.416439612510733,1.4193747961554664,1.4152691070865928,1.4099243758417073,1.4190390249648122,1.4272548559158473,1.4285732630209225,1.4210485897581406,1.4285740015309107,1.411542670578155,1.4232757490275172
1.2471408577866328,1.2446980316481286,1.2473222856111725,1.2475680471628692,1.2413886874546771,1.248127468337192,1.25,1.2500009363330948,1.2467105853811713,1.2500029548848186,1.247948766081672,1.2494385762281193
1.1110320263393092,1.111111370638289,1.111113513566639,1.111111226605824,1.110305374264765,1.1109600906608783,1.1111114063910146,1.1111133305701069,1.1111142240775502,1.1111142240775502,1.111015967669299,1.1111114538504858
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
