NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
4.140623021123604,5.443767900825132,5.3353535465205315,5.577461948228522,7.395359417652411,5.291487083455401,6.067827132458201,4.692556634304208,8.492052616273346,8.01004818042437,4.155187493891523,5.203907377918583
3.012515630576115,3.7647879508013977,3.7347560975609753,3.671385440453409,4.348271155595997,3.6079371342432243,3.9953042555044993,3.4627831715210355,4.713019731043869,4.5918218394323915,3.025584521197722,3.5446281554190566
2.459974988190156,2.8747517722528677,2.825201079721646,2.806364628691583,3.0747649378222626,2.7996038239181917,2.9761884931079154,2.761596548004315,3.2457917144798056,3.231299504945033,2.4538154578588247,2.7683709251852258
2.1031911754094748,2.3150882502204015,2.225609756097561,2.287736966106942,2.3771610555050047,2.297739180831288,2.389068667116095,2.2977346278317152,2.461081510741174,2.4362165870321855,2.0761536148822923,2.2604843346563808
1.8389724623919235,1.9201183431952664,1.8780496469127186,1.9128073184676957,1.9335759781619655,1.9281791297000423,1.9682579027002547,1.9029126213592233,1.982490272373541,1.9591836734693877,1.7875787578757876,1.8914967295113505
1.6141905034510715,1.6494085249188766,1.6107748347888131,1.6368885446340518,1.6333030027297541,1.6455431553973352,1.661255687985799,1.650485436893204,1.656942623475705,1.6411600117220826,1.5623014549264367,1.622419102600696
1.4145423616345874,1.4243452424973577,1.4069478874330368,1.4193827023031775,1.413947744702977,1.424347078237322,1.4280564787148469,1.4285714285714286,1.4257907852755745,1.4139928585803714,1.3723620501238196,1.4112574102401925
1.2480012864952252,1.2500004107642133,1.246189024390244,1.24910724227223,1.2468721565059144,1.2494723736712525,1.2500004685037427,1.25,1.2487850594159144,1.2372459013246162,1.22010453152408,1.2423051177235986
1.111111519362442,1.111111543850391,1.1077244289704824,1.111111352235823,1.1111252578238395,1.1111116046788743,1.1111116046788743,1.1111130779892762,1.111113513981099,1.111113513981099,1.1046823026501738,1.108973944296335
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
