NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.6399807677778577,4.030484780789852,4.826386735395035,5.283663342069533,5.969397578087854,5.168882590721517,6.28361513195858,5.075734441740488,5.7574478966884035,6.846694796061885,4.41198764637662,5.228524331349931
2.83481912317916,3.375352076069094,3.4201526232832706,3.518545721156923,3.9786448371281424,3.4973444740312436,3.999996138409073,3.5605898322657157,4.190314321055129,4.4594311638457516,3.204233389629282,3.565899420018348
2.3703321286579295,2.7707820313839937,2.650461780348832,2.695863233234888,2.9342165117255234,2.726595503967735,2.979393460010195,2.777779184496831,2.9324463938301175,3.2432741116751274,2.549625735065255,2.7900047746626533
2.0397525296462446,2.2733344526959547,2.170137920591293,2.205033248729461,2.305250536318396,2.245952524192778,2.3763642098983446,2.348483064511581,2.282200589904566,2.477481407454996,2.125054288895797,2.2902046461562393
1.803935974809761,1.9193962799223667,1.847224694871376,1.8591031216931784,1.9088286208886323,1.9011734470083854,1.9738191345793594,1.939396885833922,1.8655362215533553,1.981988269955986,1.82726069695633,1.92043530834341
1.5951635496826195,1.641478445865366,1.591435658575473,1.6108172149887028,1.630602262133997,1.6327002770346046,1.6599997329064127,1.6414149726572183,1.5861725650157523,1.6666737168267935,1.5978536829846672,1.6422817761287172
1.407429460166596,1.4141783614726098,1.4087304281146737,1.4085325256900005,1.411260738499455,1.4195980878410412,1.4275325659708984,1.4069261015720282,1.3825763841907075,1.4285720760326686,1.4104226757804026,1.4218343512313472
1.246031973048051,1.2468519141227972,1.2456598611730048,1.2472725910361493,1.2442300428912978,1.2482554659784908,1.2500003016871553,1.2500014243039426,1.2322462728685961,1.2500019828522935,1.246912343487377,1.249244381277482
1.1109947859119196,1.1111115822822681,1.1111210816577857,1.1109379911951573,1.1107909422469113,1.1111115282588384,1.1111115282588384,1.1111116737987323,1.1069050882411442,1.111113852835217,1.1111114074188646,1.1111114074188646
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
