NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
4.493506489426003,4.978294464356283,5.583323176786074,6.798539579427508,6.589792572679779,6.186868827682107,6.070216379156709,5.151474956802505,8.008397630896704,7.093948934744477,5.350534995843432,6.416837407559742
3.2583132158132,3.394606376742802,3.9375017906639895,4.102311914851846,4.202938569976866,4.027906670142205,3.957480289621429,3.545454545454545,4.708641199647598,4.359072084434798,3.674684002648882,4.15081859213001
2.626081134221175,2.7450988297634455,2.9583324364229497,2.987576517843022,3.0123942425417187,2.970871835540207,2.96980704551865,2.8080735046898013,3.2274045754080865,3.1908865973624545,2.805385319574093,3.081034891095035
2.199548145513275,2.285538228384594,2.3437510658714227,2.351773028595973,2.3515412472281407,2.360436311947915,2.3909421099380976,2.2954545454545454,2.4417333780714787,2.4145840467702557,2.2844469467918804,2.4100474893222863
1.8699579518100458,1.9019607843137254,1.9333333333333333,1.9387941763324341,1.918709364396385,1.9427184466019416,1.9822550831792978,1.9334087610605655,1.9661079917602526,1.9658182617290472,1.91348488192452,1.9656972408650262
1.6216384529914543,1.6421573356620611,1.6250044340351995,1.6440434617881734,1.6253487766436552,1.650081177036507,1.6629700819992503,1.6515151515151514,1.647247521255878,1.652423416491271,1.6361366910240367,1.656724287950658
1.4159291502337639,1.4215684519978506,1.4226192324667117,1.4201566205886342,1.4141583065576329,1.4223304973708037,1.4275155852652308,1.4199150026245015,1.4194908759670315,1.428570774960424,1.4204788627081584,1.4261743306182528
1.247287331109647,1.2469397757364231,1.250009095498183,1.2488799488456532,1.2449554487682046,1.2475732763551912,1.2500004617177503,1.2500048766214764,1.2486788468111154,1.2500030025341389,1.2482529043140946,1.2497670922551445
1.110986146699466,1.1111114310947279,1.1111113356897244,1.1111115864863188,1.1101502710173268,1.111111597529844,1.1111115975298442,1.1111120743914427,1.1111122972958547,1.1111122972958547,1.1109489359379654,1.1111114129241475
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
