NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.8204685440996538,4.339196045528448,6.183019219885951,5.579978203796774,5.656093489148581,5.4438997215364955,6.012033735797328,7.3912485214212476,5.8797338193641595,7.372858017382124,4.593038241361091,5.492342978276107
2.9184600738576205,3.3260038400840446,3.895096212996009,3.6355413925717994,3.893155258764607,3.5931685273790537,3.8644578313253013,3.913043478260869,4.442956758241339,4.576256700444076,3.265432451504045,3.6746837869196973
2.413534966663782,2.7165940106149837,2.9017865744053797,2.757937804775922,2.8892598775737337,2.756510283852868,2.9006000846405504,3.0434705983832595,3.1181746270111685,3.220328789201387,2.5810815748238767,2.8357321684937884
2.077867221794823,2.2687215081581917,2.321427539285738,2.2538930012190606,2.2938230383973286,2.252791068580543,2.3448795180722892,2.391304347826087,2.413785462686339,2.500031655086181,2.152460501719869,2.302438380715286
1.8218970242756458,1.894273127753304,1.924107142857143,1.8873635248400138,1.8944908180300501,1.9021806064777538,1.959037086746937,1.9130463681244891,1.9540291739236173,2.000006330957114,1.8434735995711606,1.9233363309352518
1.6007574079292302,1.633627479356308,1.6257445295066038,1.6254586397821564,1.6171396772398439,1.6336611731348574,1.6521084337349397,1.5942028985507246,1.635724053126526,1.6666701838613522,1.6039791034237447,1.6451218400861491
1.4116859897888057,1.4159847251838527,1.4221936968854592,1.416580118399017,1.4099689959456236,1.4209771722753073,1.4272810410807897,1.3664611017487702,1.4146791959415927,1.4285733666160192,1.4130003112969027,1.423273555572458
1.2472165005703577,1.2472468278124293,1.2500008336547535,1.2479019909407378,1.2433222036727878,1.2486709197235515,1.2500000000000002,1.25,1.2444749017242467,1.2500405588816037,1.24832559233608,1.2494380741595343
1.11100264451672,1.111111424161444,1.111111440456077,1.11094204999613,1.1107401224262659,1.1109637323586419,1.1111114079843707,1.1111120435861197,1.1081642565466772,1.1111388585035402,1.111012137982334,1.1111114064006669
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
