NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.771825188167346,3.6962072598394604,4.51722921689851,5.396854510044467,5.951974462299225,4.977083243555018,6.140341933935905,4.9788800585698505,7.909614550659413,7.555387028362843,4.218224991156453,5.00801851822796
2.808009880677834,3.1139280339743403,3.293101970524035,3.553119941270688,3.9928256070640176,3.438330234615492,3.992196914508169,3.354414954714433,4.4445577454515846,4.499971321596432,3.1526516492617294,3.499356949876456
2.3608672443458705,2.7932683989814464,2.6436789518053447,2.7265607747015284,2.9277021787237296,2.728777328452166,2.960364351722119,2.6160350919016486,3.1426442600711155,3.222218799678517,2.5497962598026787,2.7943524211252746
2.054648369320198,2.3164561900715728,2.163816407314443,2.2187494735118625,2.2985651214128033,2.2499039975639996,2.378167064035225,2.2890277815437745,2.4064944832237845,2.4444483390734857,2.151197795061662,2.297881655144636
1.8111083351999113,1.9341780399243602,1.8344844050396014,1.8762499999999998,1.895144270670502,1.9091265473311214,1.9781686017101825,1.9156147506175418,1.9560018323785588,1.9555617869719497,1.8466427311263418,1.9342324109713274
1.6001476129894094,1.645569386362627,1.6034775374427532,1.620833589738925,1.6225165562913906,1.636120921513647,1.6601692095368779,1.6315057562397377,1.6446627195354673,1.6481463975367128,1.6057058186624995,1.6463484256378922
1.4109186050005327,1.4177216053469424,1.4088668144404228,1.415178955209714,1.4108329611965487,1.4198438986889308,1.4274574337179926,1.4044602108461024,1.420714146652743,1.4285720788798049,1.4115738627285,1.4242176706877736
1.247025385595404,1.2500002665003704,1.245694686127585,1.248242631794148,1.2451710816777042,1.247852688043667,1.2500004551487336,1.2394529016766809,1.2472517121622702,1.2500019915716687,1.2483481883891843,1.2493985856916583
1.1110474447856582,1.1111114796054942,1.1111131055217751,1.1109379686489043,1.11080476802854,1.1111112909229202,1.1111112909229202,1.1064366346626826,1.109891517405529,1.1111138648916585,1.110915301229856,1.1111111607681547
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
