NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.902062437,4.217238119,6.375927008,5.309409988,6.440692707,5.097351867,5.853434355,5.53,6.806612807,6.297402829,4.325669117,5.292487548
2.926486305,3.261832988,3.876025652,3.506770952,4.024086471,3.442727103,3.835931433,5.031083873,4.203584395,4.09603107,3.14791231,3.587264618
2.435762011,2.624914295,2.885236432,2.688147673,2.916399742,2.658758356,2.894011492,3.3644222,3.02275116,3.063718857,2.545138833,2.792347881
2.101015594,2.248034935,2.320145317,2.200659425,2.281881975,2.184045366,2.358519017,2.531100726,2.379652186,2.398613356,2.146360397,2.270429002
1.851605653,1.886037606,1.916710816,1.849246612,1.890293868,1.840658008,1.96715548,2.031104846,1.935845614,1.954279188,1.860794495,1.916183075
1.638786715,1.630552026,1.633455745,1.592481675,1.5996243,1.58109017,1.662708733,1.697764688,1.620951234,1.620965116,1.631977801,1.644445409
1.450419049,1.408633535,1.421922522,1.384864772,1.389413312,1.371367109,1.435589485,1.459672117,1.397280507,1.38285319,1.440773858,1.422585451
1.286893623,1.236891954,1.249870011,1.217163712,1.220877624,1.200455552,1.258334629,1.28109979,1.222942503,1.204282143,1.277179953,1.248748278
1.150784791,1.103305293,1.113661239,1.080706891,1.089794311,1.063288175,1.119446035,1.142212184,1.087346142,1.065393412,1.140247155,1.110421155
1,1,1,1,1,1,1,1,1,1,1,1
