NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.873589221,4.187255046,6.387902823,5.379942841,6.426604951,5.138984123,5.873746567,6.78,6.874382304,6.37999906,4.312172559,5.257852965
2.898013089,3.231849915,3.888001467,3.577303805,4.009998715,3.484359359,3.856243645,5.019476156,4.271353892,4.178627302,3.134415753,3.552630035
2.407288795,2.594931222,2.897212247,2.758680526,2.902311986,2.700390612,2.914323704,3.352814483,3.090520657,3.146315089,2.531642275,2.757713298
2.072542378,2.218051861,2.332121132,2.271192278,2.267794219,2.225677621,2.378831229,2.51949301,2.447421683,2.481209587,2.132863839,2.235794419
1.823132437,1.856054533,1.92868663,1.919779465,1.876206112,1.882290264,1.987467692,2.019497129,2.003615111,2.03687542,1.847297937,1.881548492
1.610313499,1.600568952,1.64543156,1.663014529,1.585536544,1.622722426,1.683020945,1.686156971,1.688720731,1.703561348,1.618481243,1.609810826
1.421945832,1.378650461,1.433898336,1.455397625,1.375325556,1.412999365,1.455901697,1.4480644,1.465050004,1.465449421,1.4272773,1.387950868
1.258420406,1.206908881,1.261845826,1.287696565,1.206789868,1.242087808,1.278646841,1.269492073,1.290712,1.286878375,1.263683396,1.214113695
1.122311575,1.07332222,1.125637054,1.151239745,1.075706555,1.10492043,1.139758247,1.130604467,1.155115639,1.147989644,1.126750597,1.075786573
1,1,1,1,1,1,1,1,1,1,1,1
