NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
4.260742675948287,5.751199076845617,5.439824441260011,5.598457828013149,7.179462891641512,5.283329450991084,6.086051307211991,5.57272009649431,8.080720207623303,7.867842225992053,5.0057757589961405,5.504534216557178
3.0454439762215886,3.756058158319871,3.7784998916020633,3.6760726182794863,4.3223388389798165,3.593065297544141,3.9749197966462946,3.746135966974759,4.727156636545595,4.517737282255414,3.452177482834247,3.7063687136782257
2.47038232456965,2.9025288518550885,2.8664503899156584,2.8154786388358213,3.0715794647420807,2.7688167447944005,2.9763916894852906,2.8792539243578386,3.217306033810164,3.197966096390786,2.7009038243313963,2.867988089928709
2.105732320715006,2.3424878836833605,2.2556992887365768,2.292173355683431,2.3689326493076717,2.283130472452536,2.384785412366056,2.306505202806773,2.4459117623827353,2.4111714108182403,2.232268815666546,2.332131537987675
1.8402216232404913,1.938641979446113,1.8892542884650971,1.9117392238299007,1.9304029304029304,1.91761211427458,1.9776356847137324,1.9071207430340555,1.9774287832607937,1.949244881347689,1.8884026258205688,1.9389226100151746
1.6101379868329184,1.6505235880765616,1.6232361109560263,1.6343815435492897,1.6319446744780195,1.6368785426454433,1.6621495276495313,1.6511894069310233,1.6525538789648695,1.6498511069071338,1.6271937703791868,1.650227844140615
1.4129911053508641,1.423956132968296,1.4239525159294901,1.4177589320883748,1.4125461288735732,1.4214099902492718,1.4276033353085822,1.4241492515723762,1.421852558397955,1.4213532805558615,1.4176308431479236,1.4261330041599387
1.2472550523094703,1.2479806138933764,1.2500001436633819,1.2487172782367744,1.2462801571657902,1.2489105114227237,1.2500003111709113,1.2500019807157514,1.2488261017550315,1.2436568329483555,1.248150083035701,1.2497710047632402
1.111056056565977,1.1111113806162927,1.1111114516465999,1.1111111711722423,1.1106027780608387,1.1111115413721837,1.1111127706913702,1.1111118936154103,1.1111338650571243,1.1111139054051626,1.1109690076239915,1.111111517857674
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
