NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
4.253732996625007,4.312659236560457,5.39922738574127,6.630778907686547,6.473108427510138,5.782025289852112,6.172143438422012,4.999999999999999,7.269554936512756,7.272657606139948,5.182473383535214,5.9160488413454795
3.131496068285984,3.3557951482479784,3.783278481166991,4.04387417218543,4.1763383114226045,3.9112378612466383,3.9864119088523817,3.5542168674698793,4.437030081896986,4.545411003837468,3.5868470644600317,3.968067295268903
2.5491028882650753,2.821201941266735,2.801011839258046,2.9414987682345517,2.990366517096051,2.9333347629305444,2.9596088414207076,2.801204819277108,3.0716756243200387,3.299666811699424,2.757501285472179,3.006690188401981
2.158559738564165,2.311320754716981,2.243351059184447,2.3233995584988967,2.3366184732849216,2.34719215516927,2.391469644183697,2.3418764904194322,2.337898889252457,2.4747830345863377,2.2460961896539375,2.381844027201534
1.8526892771497088,1.9137474496306774,1.893536974446648,1.9205307162528735,1.9206049149338376,1.942922295221973,1.978860911572366,1.933734939759036,1.913593103836302,1.9798043014764601,1.8891766737304765,1.9594890510948908
1.6138048462037822,1.6352201257861636,1.6159695817490494,1.635163723325975,1.629309793958944,1.6464427499799124,1.6622632991142663,1.646599030262506,1.62496297493054,1.649833405849712,1.6249385205952778,1.6529812025589397
1.4128698671938837,1.4093188751125838,1.417708223574314,1.417140185789536,1.4131402599060978,1.4224726033720898,1.4280328374785047,1.4156626506024095,1.410693326926621,1.4141407690745353,1.4183691293735088,1.4262262216059869
1.247217645333377,1.2432614555256065,1.2452471482889733,1.248275386313466,1.2445993607620707,1.2485961141368365,1.2500006092033569,1.2424698795180722,1.2443146977608261,1.2500029935220183,1.248038334436435,1.2500005046029885
1.111047869138569,1.1111113752503248,1.1111113891112891,1.1111114051812572,1.1108114634172526,1.111111652625206,1.111112254308153,1.111111111111111,1.1111122937355202,1.1111201779625839,1.1110241029169952,1.1111113104603951
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
