NB,AEG,ALC,ALL,ALMR,ALS,APA,LADY,POST,TPA,THS,TWS
3.804775452,4.253368949,6.412049364,5.325169279,6.45919051,5.143236006,5.786084359,5.5532,6.780534344,6.338006353,4.287292238,5.239133552
2.82919932,3.297963818,3.912148009,3.522530242,4.042584274,3.488611242,3.768581437,5.040600282,4.177505932,4.136634594,3.109535431,3.533910622
2.338475026,2.661045125,2.921358788,2.703906964,2.934897544,2.704642495,2.826661496,3.373938609,2.996672697,3.104322381,2.506761954,2.738993885
2.003728609,2.284165764,2.356267673,2.216418715,2.300379777,2.229929505,2.291169021,2.540617136,2.353573723,2.43921688,2.107983518,2.217075006
1.754318668,1.922168436,1.952833172,1.865005902,1.90879167,1.886542147,1.899805484,2.040621256,1.909767151,1.994882712,1.822417615,1.862829079
1.54149973,1.666682855,1.669578101,1.608240966,1.618122103,1.626974309,1.595358736,1.707281098,1.594872771,1.661568641,1.593600922,1.591091413
1.353132063,1.444764364,1.458044878,1.400624062,1.407911115,1.417251248,1.368239489,1.469188526,1.371202045,1.423456714,1.402396979,1.369231455
1.189606637,1.273022783,1.285992367,1.232923002,1.239375427,1.246339691,1.190984633,1.290616199,1.19686404,1.244885667,1.238803074,1.195394282
1.053497806,1.139436122,1.149783595,1.096466182,1.108292113,1.109172314,1.052096039,1.151728594,1.061267679,1.105996936,1.101870276,1.057067159
0.942465779,1.028324752,1.038670082,0.985354955,0.997986739,0.998212223,0.940984633,1.040615263,0.950153455,0.994882712,0.990854308,0.945955706
